Product,Instrument,Qty.,Avg.,LTP,P&L,Chg.
NRML,ACC22DEC2560CE,250,105.3,108.7,850,3.23
NRML,ACC22DEC2600CE,250,72.9,90.55,4412.5,24.21
NRML,BAJAJFINSV22DEC1600PE,1000,31.88,30.45,-1425,-4.47
NRML,BAJFINANCE22DEC6700PE,250,166.68,203.2,9131.25,21.91
NRML,BHARATFORG22DEC840PE,1000,19.5,8.6,-10900,-55.9
NRML,BHARTIARTL22DEC830PE,3800,12.49,10.65,-6982.5,-14.71
NRML,CIPLA22DEC1120PE,1300,21.2,25.85,6045,21.93
NRML,DLF22DEC410CE,1650,12.6,10.8,-2970,-14.29
NRML,DLF22DEC420CE,1650,14,7.2,-11220,-48.57
NRML,GAIL22DEC95CE,9150,2.3,1.9,-3660,-17.39
NRML,IRCTC22DEC740CE,875,25.15,11.75,-11725,-53.28
NRML,MUTHOOTFIN22DEC1120CE,750,51.73,36.35,-11531.25,-29.72
NRML,TATAPOWER22DEC230CE,6750,5.55,4.65,-6075,-16.22
NRML,BANKNIFTY22D0843300CE,0,0,271.15,100870,0
NRML,BANKNIFTY22D0843500CE,0,0,94.5,-38535,0
NRML,NIFTY22D0818700CE,0,0,2.2,-55380,0
NRML,NIFTY22D0818800CE,0,0,0.6,-71567.5,0
